Name,Address,Phone,Website
St. Augustine,"722 Monroe St. Napoleon, OH 43545-1631",419-592-3641,http://www.staugie.net/st-augustine-school
St. Benedict,"5522 Dorr St. Toledo, OH 43615",419-536-1194,http://www.stbenedicttoledo.org
St. Boniface,"215 Oak Street Oak Harbor, OH 43449-1227",419-898-1340,http://www.sites.google.com/sb-oh.org/st-boniface-catholic-school/home
St. Catherine,"1155 Corbin Road Toledo, OH 43612-2366",419-478-9900,http://www.stcatherineearlyed.org
St. Charles Borromeo,"2175 West Elm Street Lima, OH 45805-2673",419-222-2536,http://www.sccslima.org
St. Francis de Sales,"2323 West Bancroft Street Toledo, OH 43607",419-531-1618,http://www.sfstoledo.org
St. Francis Xavier,"25 West Perry Street Willard, OH 44890",419-935-4744,http://www.sfxwillard.net
St. Gerard,"1311 N. Main Street Lima, OH 45801-2818",419-222-0431,http://www.sgslima.org
St. Aloysius,"148 S. Enterprise St. Bowling Green, OH 43402-2916",419-352-8614,http://www.stalschoolbg.org
St. Anthony,"520 . Sycamore St. Columbus Grove, OH 45830-1020",419-659-2103,http://www.stanthonyschool.info/index
St. Augustine,"722 Monroe St. Napoleon, OH 43545-1631",419-592-3641,http://www.staugie.net/st-augustine-school
St. Benedict,"5522 Dorr St. Toledo, OH 43615",419-536-1194,http://www.stbenedicttoledo.org
St. Boniface,"215 Oak Street Oak Harbor, OH 43449-1227",419-898-1340,http://www.sites.google.com/sb-oh.org/st-boniface-catholic-school/home
St. Catherine,"1155 Corbin Road Toledo, OH 43612-2366",419-478-9900,http://www.stcatherineearlyed.org
St. Charles Borromeo,"2175 West Elm Street Lima, OH 45805-2673",419-222-2536,http://www.sccslima.org
St. Joseph - Sylvania,"5411 South Main Street Sylvania, OH 43560-2155",419-882-6670,http://www.stjosephschoolsylvania.org
St. Joseph Central Catholic Campus,"702 Croghan Street Fremont, OH 43420",419-332-9947,http://www.bishop-hoffman.net
St. Joseph Elementary - Crestline,"333 N Thoman St Crestline, OH 44827",419-683-1284,http://www.stjosephcrestline.org/school-news
St. Joan of Arc,"5950 Heatherdowns Blvd. Toledo, OH 43614-4505",419-866-6177,http://www.joanofarcschool.org
St. John,"110 North Pierce Street Delphos, OH 45833",419-692-8561,http://www.delphosstjohns.org/elementary_home.aspx
St. John High School,"515 East Second Street Delphos, OH 45833-1798",419-692-5371,http://www.delphosstjohns.org
St. John's Jesuit Academy,"5901 Airport Highway Toledo, OH 43615",419-865-5743,http://www.sjjtitans.org
St. John's Jesuit High School,"5901 Airport Highway Toledo, OH 43615",419-865-5743,http://www.sjjtitans.org
St. Joseph - Maumee,"104 W Broadway St Maumee, OH 43537",419-893-3304,http://www.stjosephmaumee.org/school
St. Joseph - Monroeville,"79 Chapel St Monroeville, OH 44847",419-465-2625,http://www.msjcs.org
St. Joseph - Sylvania,"5411 South Main Street Sylvania, OH 43560-2155",419-882-6670,http://www.stjosephschoolsylvania.org
St. Joseph Central Catholic Campus,"702 Croghan Street Fremont, OH 43420",419-332-9947,http://www.bishop-hoffman.net
St. Joseph Elementary - Crestline,"333 N Thoman St Crestline, OH 44827",419-683-1284,http://www.stjosephcrestline.org/school-news
St. Joan of Arc,"5950 Heatherdowns Blvd. Toledo, OH 43614-4505",419-866-6177,http://www.joanofarcschool.org
St. John,"110 North Pierce Street Delphos, OH 45833",419-692-8561,http://www.delphosstjohns.org/elementary_home.aspx
St. John High School,"515 East Second Street Delphos, OH 45833-1798",419-692-5371,http://www.delphosstjohns.org
St. John's Jesuit Academy,"5901 Airport Highway Toledo, OH 43615",419-865-5743,http://www.sjjtitans.org
St. John's Jesuit High School,"5901 Airport Highway Toledo, OH 43615",419-865-5743,http://www.sjjtitans.org
St. Joseph - Maumee,"104 W Broadway St Maumee, OH 43537",419-893-3304,http://www.stjosephmaumee.org/school
St. Joseph - Monroeville,"79 Chapel St Monroeville, OH 44847",419-465-2625,http://www.msjcs.org
St. Joseph - Sylvania,"5411 South Main Street Sylvania, OH 43560-2155",419-882-6670,http://www.stjosephschoolsylvania.org
St. Joseph Central Catholic Campus,"702 Croghan Street Fremont, OH 43420",419-332-9947,http://www.bishop-hoffman.net
St. Joseph Elementary - Crestline,"333 N Thoman St Crestline, OH 44827",419-683-1284,http://www.stjosephcrestline.org/school-news
St. Joan of Arc,"5950 Heatherdowns Blvd. Toledo, OH 43614-4505",419-866-6177,http://www.joanofarcschool.org
St. John,"110 North Pierce Street Delphos, OH 45833",419-692-8561,http://www.delphosstjohns.org/elementary_home.aspx
St. John High School,"515 East Second Street Delphos, OH 45833-1798",419-692-5371,http://www.delphosstjohns.org
St. John's Jesuit Academy,"5901 Airport Highway Toledo, OH 43615",419-865-5743,http://www.sjjtitans.org
St. John's Jesuit High School,"5901 Airport Highway Toledo, OH 43615",419-865-5743,http://www.sjjtitans.org
St. Joseph - Maumee,"104 W Broadway St Maumee, OH 43537",419-893-3304,http://www.stjosephmaumee.org/school
St. Michael,"723 Sutton Place Findlay , OH 45840-6965",419-423-2738,http://www.findlaystmichaelschool.org
St. Patrick,"610 S. Portland Street Bryan, OH 43506-2057",419-636-3592,http://www.saintpatrickschoolbryan.org
St. Patrick of Heatherdowns,"4201 Heatherdowns Blvd Toledo, OH 43614-3019",419-381-1775,http://www.toledostpats.org/school
St. Paul High School,"93 East Main St. Norwalk, OH 44857",419-668-3005,http://www.ncsweb.org
St. Joseph Elementary - Galion,"138 N Liberty St Galion, OH 44833",419-468-5436,http://www.sjsaints.org
St. Louis,"22776 Defiance Pike Custar, OH 43511-9716",419-669-1875,http://www.stlouiscustaroh.com
St. Mary - Edgerton,"314 S Locust St Edgerton, OH 43517",419-298-2531,http://www.stmaryedgerton.org
St. Mary - Leipsic,"129 St Marys St Leipsic, OH 45856",419-943-2801,http://ls.noacsc.org
St. Mary - Shelby,"26 West Street Shelby, OH 44875-1148",419-342-2626,http://www.stmaryshelby.org
St. Mary of the Snows,"1630 Ashland Rd Mansfield, OH 44905",419-589-2114,http://www.mansfieldstmaryschool.org
St. Michael,"723 Sutton Place Findlay , OH 45840-6965",419-423-2738,http://www.findlaystmichaelschool.org
St. Patrick,"610 S. Portland Street Bryan, OH 43506-2057",419-636-3592,http://www.saintpatrickschoolbryan.org
St. Patrick of Heatherdowns,"4201 Heatherdowns Blvd Toledo, OH 43614-3019",419-381-1775,http://www.toledostpats.org/school
St. Paul High School,"93 East Main St. Norwalk, OH 44857",419-668-3005,http://www.ncsweb.org
St. Joseph Elementary - Galion,"138 N Liberty St Galion, OH 44833",419-468-5436,http://www.sjsaints.org
St. Louis,"22776 Defiance Pike Custar, OH 43511-9716",419-669-1875,http://www.stlouiscustaroh.com
St. Mary - Edgerton,"314 S Locust St Edgerton, OH 43517",419-298-2531,http://www.stmaryedgerton.org
St. Mary - Leipsic,"129 St Marys St Leipsic, OH 45856",419-943-2801,http://ls.noacsc.org
St. Mary - Shelby,"26 West Street Shelby, OH 44875-1148",419-342-2626,http://www.stmaryshelby.org
St. Mary of the Snows,"1630 Ashland Rd Mansfield, OH 44905",419-589-2114,http://www.mansfieldstmaryschool.org
St. Michael,"723 Sutton Place Findlay , OH 45840-6965",419-423-2738,http://www.findlaystmichaelschool.org
St. Patrick,"610 S. Portland Street Bryan, OH 43506-2057",419-636-3592,http://www.saintpatrickschoolbryan.org
St. Patrick of Heatherdowns,"4201 Heatherdowns Blvd Toledo, OH 43614-3019",419-381-1775,http://www.toledostpats.org/school
St. Paul High School,"93 East Main St. Norwalk, OH 44857",419-668-3005,http://www.ncsweb.org
St. Joseph Elementary - Galion,"138 N Liberty St Galion, OH 44833",419-468-5436,http://www.sjsaints.org
St. Louis,"22776 Defiance Pike Custar, OH 43511-9716",419-669-1875,http://www.stlouiscustaroh.com
St. Mary - Edgerton,"314 S Locust St Edgerton, OH 43517",419-298-2531,http://www.stmaryedgerton.org
St. Mary - Leipsic,"129 St Marys St Leipsic, OH 45856",419-943-2801,http://ls.noacsc.org
St. Mary - Shelby,"26 West Street Shelby, OH 44875-1148",419-342-2626,http://www.stmaryshelby.org
St. Mary of the Snows,"1630 Ashland Rd Mansfield, OH 44905",419-589-2114,http://www.saintrichard.org/school
St. Rose,"217 East Front Street Perrysburg, OH 43551-2192",419-874-5631,http://http://saintroseonline.org/school
St. Rose Elementary - Lima,"523 N West St Lima, OH 45801",419-222-2032,http://www.srslima.org
St. Ursula Academy,"4025 Indian Road Toledo, OH 43606",419-531-1693,http://www.toledosua.org
St. Ursula Junior Academy,"4025 Indian Road Toledo, OH 43606",419-531-1693,http://www.toledosua.org
St. Peter,"429 Huron Street Huron, OH 44839-1753",419-433-4640,http://www.huronsps.org
St. Peter Elementary and Montessori,"67 S Mulberry St Mansfield, OH 44902",419-524-2572,http://www.mansfieldstpeters.org/school
St. Peter High School,"104 W. First Street Mansfield, OH 44902-2199",419-524-2572,http://www.mansfieldstpeters.org/school
St. Peter School,"310 N. Eighth Street Upper Sandusky, OH 43351-1144",419-294-1395,http://www.stpeterupper.com/
St. Pius,"2950 Ilger Avenue Toledo, OH 43606-1661",419-535-7688,http://www.stpiusxtoledo.org
St. Richard,"333 Brookside Drive Swanton, OH 43558-1062",419-826-5041,http://www.saintrichard.org/school
St. Rose,"217 East Front Street Perrysburg, OH 43551-2192",419-874-5631,http://http://saintroseonline.org/school
St. Rose Elementary - Lima,"523 N West St Lima, OH 45801",419-222-2032,http://www.srslima.org
St. Ursula Academy,"4025 Indian Road Toledo, OH 43606",419-531-1693,http://www.toledosua.org
St. Ursula Junior Academy,"4025 Indian Road Toledo, OH 43606",419-531-1693,http://www.toledosua.org
St. Peter,"429 Huron Street Huron, OH 44839-1753",419-433-4640,http://www.huronsps.org
St. Peter Elementary and Montessori,"67 S Mulberry St Mansfield, OH 44902",419-524-2572,http://www.mansfieldstpeters.org/school
St. Peter High School,"104 W. First Street Mansfield, OH 44902-2199",419-524-2572,http://www.mansfieldstpeters.org/school
St. Peter School,"310 N. Eighth Street Upper Sandusky, OH 43351-1144",419-294-1395,http://www.stpeterupper.com/
St. Pius,"2950 Ilger Avenue Toledo, OH 43606-1661",419-535-7688,http://www.stpiusxtoledo.org
St. Richard,"333 Brookside Drive Swanton, OH 43558-1062",419-826-5041,http://www.saintrichard.org/school
St. Rose,"217 East Front Street Perrysburg, OH 43551-2192",419-874-5631,http://http://saintroseonline.org/school
St. Rose Elementary - Lima,"523 N West St Lima, OH 45801",419-222-2032,http://www.srslima.org
St. Ursula Academy,"4025 Indian Road Toledo, OH 43606",419-531-1693,http://www.toledosua.org
St. Ursula Junior Academy,"4025 Indian Road Toledo, OH 43606",419-531-1693,http://www.toledosua.org
